sl_nr;messstelle_id;messstelle_sl_nr;datum_pn;stoff_nr;probengut;messergebnis_c;messergebnis_hinweis;bestimmungsgrenze;masseinheit;trennverfahren;verfahren;vor_ort
9753783;021172109;3528;1968-06-12;1182;Grundwasser;1,10000;                                                  ;;mg/l;Gesamtgehalt;DEV(7) E1/1; 
9756648;021172109;3528;1968-06-12;1224;Grundwasser;176,90000;                                                  ;;mg/l;Nach Laborjournal;; 
12409937;021172109;3528;1968-06-12;1244;Grundwasser;2,79999;                                                  ;;mg/l;Gesamtgehalt;DIN 38405-D9-2 MAI 1979; 
12922085;021172109;3528;1968-06-12;1248;Grundwasser;1,19814;                                                  ;;mg/l;Gesamtgehalt;DEV E5/1; 
9756645;021172109;3528;1968-06-12;1482;Grundwasser;2,51785;                                                  ;;mmol/l;Gesamtgehalt;; 
9754748;021172304;3530;1969-07-24;1531;Grundwasser;11,00000;                                                  ;;mg/l;Nach Laborjournal;; 
12848386;091130803;24131;1968-08-19;1248;Grundwasser;1,59752;                                                  ;;mg/l;Gesamtgehalt;DEV E5/1; 
13152097;091130803;24131;1968-08-19;1263;Grundwasser;0,05016;                                                  ;;mg/l;Membranfilter;DIN 38405-D11-1 OKTOBER 1983; 
4123555;010410144;49087;1951-04-30;1331;Grundwasser;1.665,00000;                                                  ;;mg/l;Gesamtgehalt;; 
4123556;010410144;49087;1951-04-30;1321;Grundwasser;5,07500;                                                  ;;mg/l;Membranfilter;; 
4123557;010410144;49087;1951-04-30;1313;Grundwasser;291,10000;                                                  ;;mg/l;Gesamtgehalt;; 
4123558;010410144;49087;1951-04-30;1245;Grundwasser;0,37271;                                                  ;;mg/l;Gesamtgehalt;; 
4123559;010410144;49087;1951-04-30;1247;Grundwasser;0,79878;                                                  ;;mg/l;Gesamtgehalt;; 
4123560;010410144;49087;1951-04-30;1249;Grundwasser;1,19379;                                                  ;;mg/l;Gesamtgehalt;; 
4123561;010410144;49087;1951-04-30;1112;Grundwasser;1.440,00000;                                                  ;;mg/l;Gesamtgehalt;; 
4123562;010410144;49087;1951-04-30;1113;Grundwasser;83,50000;                                                  ;;mg/l;Gesamtgehalt;; 
4123563;010410144;49087;1951-04-30;1122;Grundwasser;43,39000;                                                  ;;mg/l;Gesamtgehalt;; 
4123564;010410144;49087;1951-04-30;1171;Grundwasser;0,01540;                                                  ;;mg/l;Gesamtgehalt;; 
4123565;010410144;49087;1951-04-30;1182;Grundwasser;0,09230;                                                  ;;mg/l;Gesamtgehalt;; 
4123566;010410144;49087;1951-04-30;1131;Grundwasser;0,27700;                                                  ;;mg/l;Gesamtgehalt;; 
