messstelle_id,e32,e32num,n32,n32num,genau
288067022,319090,319090.0,5672579,5672579.0,1
288067113,319809,319809.0,5669530,5669530.0,1
288067125,319809,319809.0,5669530,5669530.0,1
288067137,319809,319809.0,5669530,5669530.0,1
288067149,319809,319809.0,5669530,5669530.0,1
288067319,312235,312235.0,5670378,5670378.0,1
288067320,312235,312235.0,5670378,5670378.0,1
288067332,312235,312235.0,5670378,5670378.0,1
288067344,312235,312235.0,5670378,5670378.0,1
288067411,3163xx,316350.0,56695xx,5669550.0,100
288067423,316303,316303.0,5669536,5669536.0,1
288067435,316303,316303.0,5669536,5669536.0,1
288067447,316303,316303.0,5669536,5669536.0,1
288067514,321849,321849.0,5662810,5662810.0,1
288067617,319892,319892.0,5664542,5664542.0,1
288067710,336357,336357.0,5664146,5664146.0,1
288067812,338166,338166.0,5665533,5665533.0,1
288067915,326096,326096.0,5668678,5668678.0,1
288067927,326096,326096.0,5668678,5668678.0,1
288068014,327162,327162.0,5670599,5670599.0,1
288068026,327162,327162.0,5670599,5670599.0,1
288068038,327162,327162.0,5670599,5670599.0,1
288068210,333756,333756.0,5668655,5668655.0,1
288068221,333756,333756.0,5668655,5668655.0,1
288068312,311641,311641.0,5675387,5675387.0,1
288068324,311641,311641.0,5675387,5675387.0,1
288068336,311641,311641.0,5675387,5675387.0,1
288068415,313738,313738.0,5672195,5672195.0,1
288068427,313738,313738.0,5672195,5672195.0,1
288068439,313738,313738.0,5672195,5672195.0,1
288068610,315976,315976.0,5672936,5672936.0,1
288068622,315976,315976.0,5672936,5672936.0,1
288068634,315976,315976.0,5672936,5672936.0,1
288068713,316689,316689.0,5670783,5670783.0,1
288068725,316689,316689.0,5670783,5670783.0,1
288068737,316689,316689.0,5670783,5670783.0,1
288068816,319273,319273.0,5670357,5670357.0,1
288068828,319273,319273.0,5670357,5670357.0,1
288068919,323653,323653.0,5669580,5669580.0,1
288068920,323653,323653.0,5669580,5669580.0,1
288068932,323653,323653.0,5669580,5669580.0,1
288069018,327738,327738.0,5666620,5666620.0,1
288069020,327738,327738.0,5666620,5666620.0,1
288069110,322520,322520.0,5668664,5668664.0,1
288069122,322520,322520.0,5668664,5668664.0,1
288069213,3316xx,331650.0,56689xx,5668950.0,100
288069225,3316xx,331650.0,56689xx,5668950.0,100
288069316,329014,329014.0,5668877,5668877.0,1
288069328,329014,329014.0,5668877,5668877.0,1
288069419,331130,331130.0,5670772,5670772.0,1
288069420,331130,331130.0,5670771,5670771.0,1
288069717,329190,329190.0,5657025,5657025.0,1
288069810,329787,329787.0,5658555,5658555.0,1
288069821,329787,329787.0,5658555,5658555.0,1
288069912,330022,330022.0,5658991,5658991.0,1
288069924,330022,330022.0,5658991,5658991.0,1
288070010,342173,342173.0,5661493,5661493.0,1
288070112,342077,342077.0,5661377,5661377.0,1
288070215,341859,341859.0,5661250,5661250.0,1
288070318,342220,342220.0,5661288,5661288.0,1
288070410,342268,342268.0,5660975,5660975.0,1
288070513,341758,341758.0,5661334,5661334.0,1
288070616,341716,341716.0,5660939,5660939.0,1
288070719,341425,341425.0,5660895,5660895.0,1
288070811,342152,342152.0,5660705,5660705.0,1
288070914,342181,342181.0,5660231,5660231.0,1
288071013,342487,342487.0,5659943,5659943.0,1
288071116,342827,342827.0,5659649,5659649.0,1
288071219,343114,343114.0,5659658,5659658.0,1
288071311,343385,343385.0,5660252,5660252.0,1
288071414,342389,342389.0,5666323,5666323.0,1
288071517,342379,342379.0,5666229,5666229.0,1
288071610,341523,341523.0,5665866,5665866.0,1
288071712,340256,340256.0,5666512,5666512.0,1
288071815,340746,340746.0,5666748,5666748.0,1
288071918,341415,341415.0,5667009,5667009.0,1
288072017,340137,340137.0,5669783,5669783.0,1
288072110,337361,337361.0,5669465,5669465.0,1
288072212,337111,337111.0,5669351,5669351.0,1
288072315,337205,337205.0,5668982,5668982.0,1
288072418,328288,328288.0,5677846,5677846.0,1
288072510,328507,328507.0,5678086,5678086.0,1
288072613,328500,328500.0,5678113,5678113.0,1
288072716,326948,326948.0,5676581,5676581.0,1
288072819,326957,326957.0,5676758,5676758.0,1
288072911,327677,327677.0,5676458,5676458.0,1
288073010,324829,324829.0,5673705,5673705.0,1
288073113,324762,324762.0,5673505,5673505.0,1
288073216,324583,324583.0,5673433,5673433.0,1
288073319,325021,325021.0,5673164,5673164.0,1
288073411,326186,326186.0,5672623,5672623.0,1
288073514,326200,326200.0,5672723,5672723.0,1
288073617,326269,326269.0,5672996,5672996.0,1
288073710,326710,326710.0,5672562,5672562.0,1
288073812,326639,326639.0,5672246,5672246.0,1
288073915,325578,325578.0,5671962,5671962.0,1
288074014,325526,325526.0,5671986,5671986.0,1
288074117,325277,325277.0,5672272,5672272.0,1
288074210,325336,325336.0,5671970,5671970.0,1
288074312,319140,319140.0,5665223,5665223.0,1
288074415,318934,318934.0,5665294,5665294.0,1
288074518,318863,318863.0,5665372,5665372.0,1
288074610,318578,318578.0,5666423,5666423.0,1
288074713,318592,318592.0,5666109,5666109.0,1
288074816,320380,320380.0,5667367,5667367.0,1
288074919,320914,320914.0,5667461,5667461.0,1
288075018,321766,321766.0,5682914,5682914.0,1
288075110,299589,299589.0,5674332,5674332.0,1
288075213,299053,299053.0,5674404,5674404.0,1
288075316,298967,298967.0,5674041,5674041.0,1
288075419,298298,298298.0,5673546,5673546.0,1
288075420,298298,298298.0,5673546,5673546.0,1
288075511,298008,298008.0,5673241,5673241.0,1
288075614,296840,296840.0,5672902,5672902.0,1
288075717,326790,326790.0,5663555,5663555.0,1
288075729,326790,326790.0,5663555,5663555.0,1
288075730,326790,326790.0,5663555,5663555.0,1
288075742,326790,326790.0,5663555,5663555.0,1
288075810,295936,295936.0,5675075,5675075.0,1
288075821,295936,295936.0,5675075,5675075.0,1
288075912,295846,295846.0,5675130,5675130.0,1
288076813,313335,313335.0,5668673,5668673.0,1
288077210,311920,311920.0,5670169,5670169.0,1
288077222,311920,311920.0,5670169,5670169.0,1
288077313,311633,311633.0,5670247,5670247.0,1
288078615,310124,310124.0,5672861,5672861.0,1
288078718,310822,310822.0,5672590,5672590.0,1
288079115,311985,311985.0,5671686,5671686.0,1
288079218,311284,311284.0,5673306,5673306.0,1
288079310,311197,311197.0,5673216,5673216.0,1
288079413,310775,310775.0,5672921,5672921.0,1
288079425,310775,310775.0,5672921,5672921.0,1
288079516,309799,309799.0,5673284,5673284.0,1
288079619,309604,309604.0,5673356,5673356.0,1
288079711,309276,309276.0,5673618,5673618.0,1
288080713,307586,307586.0,5674530,5674530.0,1
288080816,307250,307250.0,5674792,5674792.0,1
288080919,307011,307011.0,5675645,5675645.0,1
288080920,307011,307011.0,5675645,5675645.0,1
288081018,306727,306727.0,5675739,5675739.0,1
288081110,306551,306551.0,5675780,5675780.0,1
288081213,306444,306444.0,5675948,5675948.0,1
